Date : 2025-04-26 10:58:49
Directory : /Users/dasuncharuka/Desktop/new/math-llm-system/web
Total : 70 files,  -211 codes, -242 comments, -237 blanks, all -690 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/layout/__init__.py                          | Python         |          0 |          0 |          1 |          1 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/MathInput.css                          | CSS            |        173 |          1 |         28 |        202 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/MathInput.jsx                          | JavaScript JSX |        239 |         25 |         34 |        298 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/MathQueryPanel.css                     | CSS            |         96 |          1 |         19 |        116 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/MathQueryPanel.jsx                     | JavaScript JSX |        163 |         27 |         32 |        222 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/StepByStepSolution.css                 | CSS            |        106 |          1 |         19 |        126 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/StepByStepSolution.jsx                 | JavaScript JSX |        123 |         20 |         14 |        157 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/__init__.py                            | Python         |          0 |          0 |          1 |          1 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/preferences/ResponsePreferences.css         | CSS            |        159 |          1 |         33 |        193 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/preferences/ResponsePreferences.jsx         | JavaScript JSX |        189 |         18 |         17 |        224 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/response/IntegratedResponse.css             | CSS            |        249 |          3 |         48 |        300 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/response/IntegratedResponse.jsx             | JavaScript JSX |        294 |         35 |         41 |        370 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/InteractionVisualizations.css | CSS            |         55 |          0 |          9 |         64 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/InteractionVisualizations.jsx | JavaScript JSX |         73 |          3 |         16 |         92 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/VisualizationDisplay.css      | CSS            |         51 |          0 |          8 |         59 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/VisualizationDisplay.jsx      | JavaScript JSX |         85 |         11 |         16 |        112 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/VisualizationSelector.css     | CSS            |         81 |          0 |         15 |         96 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/VisualizationSelector.jsx     | JavaScript JSX |        209 |         21 |         38 |        268 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/__init__.py                   | Python         |          0 |          0 |          1 |          1 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/context/__init__.py                                    | Python         |          0 |          0 |          1 |          1 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/hooks/__init__.py                                      | Python         |          0 |          0 |          1 |          1 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/services/__init__.py                                   | Python         |          0 |          0 |          1 |          1 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/services/preferencesService.js                         | JavaScript     |         49 |         22 |         10 |         81 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/services/responseService.js                            | JavaScript     |         93 |         29 |         15 |        137 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/services/workflowService.js                            | JavaScript     |         94 |         36 |         21 |        151 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/styles/MathInputPanel.css                              | CSS            |        196 |          0 |         34 |        230 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/styles/__init__.py                                     | Python         |          0 |          0 |          1 |          1 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/utils/__init__.py                                      | Python         |          0 |          0 |          1 |          1 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/utils/accessibleLatex.js                               | JavaScript     |        168 |         51 |         32 |        251 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/src/utils/latexEngineConfig.js                             | JavaScript     |         92 |         37 |         13 |        142 |
| /Users/dasuncharuka/Desktop/new/math-llm-system/web/tests/__init__.py                                          | Python         |          0 |          0 |          1 |          1 |
| Total                                                                                                          |                |       -211 |       -242 |       -237 |       -690 |
+----------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
