"filename", "language", "Python", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/preferences/ResponsePreferences.css", "CSS", 0, 0, 0, 159, 1, 33, 193
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/preferences/ResponsePreferences.jsx", "JavaScript JSX", 0, 0, 189, 0, 18, 17, 224
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/response/IntegratedResponse.css", "CSS", 0, 0, 0, 249, 3, 48, 300
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/response/IntegratedResponse.jsx", "JavaScript JSX", 0, 0, 294, 0, 35, 41, 370
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/InteractionVisualizations.css", "CSS", 0, 0, 0, 55, 0, 9, 64
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/InteractionVisualizations.jsx", "JavaScript JSX", 0, 0, 73, 0, 3, 16, 92
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/VisualizationDisplay.css", "CSS", 0, 0, 0, 51, 0, 8, 59
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/VisualizationDisplay.jsx", "JavaScript JSX", 0, 0, 85, 0, 11, 16, 112
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/VisualizationSelector.css", "CSS", 0, 0, 0, 81, 0, 15, 96
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/VisualizationSelector.jsx", "JavaScript JSX", 0, 0, 209, 0, 21, 38, 268
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/visualization/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/context/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/hooks/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/services/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/services/preferencesService.js", "JavaScript", 0, 49, 0, 0, 22, 10, 81
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/services/responseService.js", "JavaScript", 0, 93, 0, 0, 29, 15, 137
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/services/workflowService.js", "JavaScript", 0, 94, 0, 0, 36, 21, 151
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/styles/MathInputPanel.css", "CSS", 0, 0, 0, 196, 0, 34, 230
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/styles/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/utils/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/utils/accessibleLatex.js", "JavaScript", 0, 168, 0, 0, 51, 32, 251
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/utils/latexEngineConfig.js", "JavaScript", 0, 92, 0, 0, 37, 13, 142
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"Total", "-", -4498, 496, 2269, 1522, -242, -237, -690
